fieldsample_barcode,BioSample,project_id,extraction_id,original_extraction_id,extractionplate_id,extraction_row,extraction_col,extraction_conc,extraction_method,library_id,libraryplate_id,library_row,library_col,library_conc,library_method,seq_id
MFD00001,SAMN39864933,P08_1,EXT-MJ019-D8,EXT-MJ019-D8,EXT00001,D,8,19.33,PowerSoil-Pro-HT,LIB-MJ050-D8,LIB00001,D,8,5.71135,ILLUMINA-DNA-PREP.V2,LIB-MJ050-D8_02
MFD00001,SAMN39864933,P08_1,EXT-MJ397-E10,EXT-MJ019-D8,REPREP7,E,10,19.38,PowerSoil-Pro-HT,LIB-MJ408-E10,REPREP7,E,10,1.8,ILLUMINA-DNA-PREP.V2,LIB-MJ408-E10_04
MFD00002,SAMN39864934,P08_1,EXT-MJ019-D9,EXT-MJ019-D9,EXT00001,D,9,10.92,PowerSoil-Pro-HT,LIB-MJ050-D9,LIB00001,D,9,5.09736,ILLUMINA-DNA-PREP.V2,LIB-MJ050-D9_02
MFD00003,SAMN39864935,P08_1,EXT-MJ040-A2,EXT-MJ040-A2,EXT00005,A,2,17.25,PowerSoil-Pro-HT,LIB-MJ048-A2,LIB00005,A,2,5.05861,ILLUMINA-DNA-PREP.V2,LIB-MJ048-A2_04
MFD00004,SAMN39864936,P08_1,EXT-MJ019-E3,EXT-MJ019-E3,EXT00001,E,3,44.92,PowerSoil-Pro-HT,LIB-MJ050-E3,LIB00001,E,3,5.10989,ILLUMINA-DNA-PREP.V2,LIB-MJ050-E3_02
MFD00005,SAMN39864937,P08_1,EXT-MJ038-D2,EXT-MJ038-D2,EXT00003,D,2,3.16,PowerSoil-Pro-HT,LIB-MJ044-D2,LIB00003,D,2,2.24504,ILLUMINA-DNA-PREP.V2,LIB-MJ044-D2_03
MFD00006,SAMN39864938,P08_1,EXT-MJ019-E10,EXT-MJ019-E10,EXT00001,E,10,36.69,PowerSoil-Pro-HT,LIB-MJ050-E10,LIB00001,E,10,4.75152,ILLUMINA-DNA-PREP.V2,LIB-MJ050-E10_02
MFD00007,SAMN39864939,P08_1,EXT-MJ019-A12,EXT-MJ019-A12,EXT00001,A,12,1.55,PowerSoil-Pro-HT,LIB-MJ050-A12,LIB00001,A,12,4.2904,ILLUMINA-DNA-PREP.V2,LIB-MJ050-A12_02
MFD00008,SAMN39864940,P08_1,EXT-MJ019-B8,EXT-MJ019-B8,EXT00001,B,8,24.37,PowerSoil-Pro-HT,LIB-MJ050-B8,LIB00001,B,8,5.58103,ILLUMINA-DNA-PREP.V2,LIB-MJ050-B8_02
MFD00009,SAMN39864941,P08_1,EXT-MJ019-A1,EXT-MJ019-A1,EXT00001,A,1,55.67,PowerSoil-Pro-HT,LIB-MJ050-A1,LIB00001,A,1,5.87675,ILLUMINA-DNA-PREP.V2,LIB-MJ050-A1_02
MFD00010,SAMN39864942,P08_1,EXT-MJ037-H6,EXT-MJ037-H6,EXT00002,H,6,1.26,PowerSoil-Pro-HT,LIB-MJ051-H6,LIB00002,H,6,0.89537,ILLUMINA-DNA-PREP.V2,LIB-MJ051-H6_02
MFD00011,SAMN39864943,P09_1,EXT-MJ038-D4,EXT-MJ038-D4,EXT00003,D,4,3.46,PowerSoil-Pro-HT,LIB-MJ044-D4,LIB00003,D,4,1.7426,ILLUMINA-DNA-PREP.V2,LIB-MJ044-D4_03
MFD00012,SAMN39864944,P08_1,EXT-MJ019-F11,EXT-MJ019-F11,EXT00001,F,11,15.51,PowerSoil-Pro-HT,LIB-MJ050-F11,LIB00001,F,11,4.3305,ILLUMINA-DNA-PREP.V2,LIB-MJ050-F11_02
MFD00013,SAMN39864945,P08_1,EXT-MJ019-A10,EXT-MJ019-A10,EXT00001,A,10,29.98,PowerSoil-Pro-HT,LIB-MJ050-A10,LIB00001,A,10,5.66373,ILLUMINA-DNA-PREP.V2,LIB-MJ050-A10_02
MFD00014,SAMN39864946,P08_1,EXT-MJ019-H2,EXT-MJ019-H2,EXT00001,H,2,0.25,PowerSoil-Pro-HT,LIB-MJ050-H2,LIB00001,H,2,2.23041,ILLUMINA-DNA-PREP.V2,LIB-MJ050-H2_02
MFD00015,SAMN39864947,P08_1,EXT-MJ037-C12,EXT-MJ037-C12,EXT00002,C,12,0.35,PowerSoil-Pro-HT,LIB-MJ051-C12,LIB00002,C,12,0.44093,ILLUMINA-DNA-PREP.V2,LIB-MJ051-C12_02
MFD00016,SAMN39864948,P08_1,EXT-MJ019-B7,EXT-MJ019-B7,EXT00001,B,7,17.61,PowerSoil-Pro-HT,LIB-MJ050-B7,LIB00001,B,7,4.17262,ILLUMINA-DNA-PREP.V2,LIB-MJ050-B7_02
MFD00017,SAMN39864949,P08_1,EXT-MJ039-G1,EXT-MJ039-G1,EXT00004,G,1,36.32,PowerSoil-Pro-HT,LIB-MJ054-G1,LIB00004,G,1,2.85072,ILLUMINA-DNA-PREP.V2,LIB-MJ054-G1_03
MFD00018,SAMN39864950,P08_1,EXT-MJ019-H9,EXT-MJ019-H9,EXT00001,H,9,16.84,PowerSoil-Pro-HT,LIB-MJ050-H9,LIB00001,H,9,3.55863,ILLUMINA-DNA-PREP.V2,LIB-MJ050-H9_02
MFD00019,SAMN39864951,P08_1,EXT-MJ019-A11,EXT-MJ019-A11,EXT00001,A,11,27.78,PowerSoil-Pro-HT,LIB-MJ050-A11,LIB00001,A,11,3.94958,ILLUMINA-DNA-PREP.V2,LIB-MJ050-A11_02
MFD00020,SAMN39864952,P08_1,EXT-MJ019-E2,EXT-MJ019-E2,EXT00001,E,2,2,PowerSoil-Pro-HT,LIB-MJ050-E2,LIB00001,E,2,0.67163,ILLUMINA-DNA-PREP.V2,LIB-MJ050-E2_02
MFD00021,SAMN39864953,P08_1,EXT-MJ019-A7,EXT-MJ019-A7,EXT00001,A,7,41.59,PowerSoil-Pro-HT,LIB-MJ050-A7,LIB00001,A,7,6.50828,ILLUMINA-DNA-PREP.V2,LIB-MJ050-A7_02
MFD00022,SAMN39864954,P08_1,EXT-MJ019-G2,EXT-MJ019-G2,EXT00001,G,2,12.6,PowerSoil-Pro-HT,LIB-MJ050-G2,LIB00001,G,2,4.61619,ILLUMINA-DNA-PREP.V2,LIB-MJ050-G2_02
MFD00023,SAMN39864955,P08_1,EXT-MJ037-H2,EXT-MJ037-H2,EXT00002,H,2,24.22,PowerSoil-Pro-HT,LIB-MJ051-H2,LIB00002,H,2,2.49038,ILLUMINA-DNA-PREP.V2,LIB-MJ051-H2_02
MFD00024,SAMN39864956,P08_1,EXT-MJ019-B4,EXT-MJ019-B4,EXT00001,B,4,42.65,PowerSoil-Pro-HT,LIB-MJ050-B4,LIB00001,B,4,4.77408,ILLUMINA-DNA-PREP.V2,LIB-MJ050-B4_02
MFD00025,SAMN39864957,P08_1,EXT-MJ019-A4,EXT-MJ019-A4,EXT00001,A,4,35.75,PowerSoil-Pro-HT,LIB-MJ050-A4,LIB00001,A,4,5.30286,ILLUMINA-DNA-PREP.V2,LIB-MJ050-A4_02
MFD00026,SAMN39864958,P08_1,EXT-MJ019-C9,EXT-MJ019-C9,EXT00001,C,9,20.92,PowerSoil-Pro-HT,LIB-MJ050-C9,LIB00001,C,9,7.86407,ILLUMINA-DNA-PREP.V2,LIB-MJ050-C9_02
MFD00027,SAMN39864959,P08_1,EXT-MJ037-H4,EXT-MJ037-H4,EXT00002,H,4,19.08,PowerSoil-Pro-HT,LIB-MJ051-H4,LIB00002,H,4,2.48363,ILLUMINA-DNA-PREP.V2,LIB-MJ051-H4_02
MFD00028,SAMN39864960,P08_1,EXT-MJ019-E1,EXT-MJ019-E1,EXT00001,E,1,55.7,PowerSoil-Pro-HT,LIB-MJ050-E1,LIB00001,E,1,4.74651,ILLUMINA-DNA-PREP.V2,LIB-MJ050-E1_02
MFD00029,SAMN39864961,P08_1,EXT-MJ019-D11,EXT-MJ019-D11,EXT00001,D,11,29.55,PowerSoil-Pro-HT,LIB-MJ050-D11,LIB00001,D,11,4.73398,ILLUMINA-DNA-PREP.V2,LIB-MJ050-D11_02
MFD00030,SAMN39864962,P08_1,EXT-MJ019-H11,EXT-MJ019-H11,EXT00001,H,11,40.84,PowerSoil-Pro-HT,LIB-MJ050-H11,LIB00001,H,11,3.94206,ILLUMINA-DNA-PREP.V2,LIB-MJ050-H11_02
MFD00031,SAMN39864963,P08_1,EXT-MJ019-C11,EXT-MJ019-C11,EXT00001,C,11,25.32,PowerSoil-Pro-HT,LIB-MJ050-C11,LIB00001,C,11,6.88419,ILLUMINA-DNA-PREP.V2,LIB-MJ050-C11_02
MFD00032,SAMN39864964,P09_1,EXT-MJ040-C2,EXT-MJ040-C2,EXT00005,C,2,2.37,PowerSoil-Pro-HT,LIB-MJ048-C2,LIB00005,C,2,1.57824,ILLUMINA-DNA-PREP.V2,LIB-MJ048-C2_04
MFD00033,SAMN39864965,P08_1,EXT-MJ019-F4,EXT-MJ019-F4,EXT00001,F,4,5.87,PowerSoil-Pro-HT,LIB-MJ050-F4,LIB00001,F,4,4.05233,ILLUMINA-DNA-PREP.V2,LIB-MJ050-F4_02
MFD00034,SAMN39864966,P09_1,EXT-MJ038-F8,EXT-MJ038-F8,EXT00003,F,8,0.97,PowerSoil-Pro-HT,LIB-MJ044-F8,LIB00003,F,8,1.36761,ILLUMINA-DNA-PREP.V2,LIB-MJ044-F8_03
MFD00035,SAMN39864967,P08_1,EXT-MJ037-C7,EXT-MJ037-C7,EXT00002,C,7,20.69,PowerSoil-Pro-HT,LIB-MJ051-C7,LIB00002,C,7,2.78959,ILLUMINA-DNA-PREP.V2,LIB-MJ051-C7_02
MFD00036,SAMN39864968,P08_1,EXT-MJ019-E9,EXT-MJ019-E9,EXT00001,E,9,23.62,PowerSoil-Pro-HT,LIB-MJ050-E9,LIB00001,E,9,5.31288,ILLUMINA-DNA-PREP.V2,LIB-MJ050-E9_02
MFD00037,SAMN39864969,P08_1,EXT-MJ019-G8,EXT-MJ019-G8,EXT00001,G,8,14.26,PowerSoil-Pro-HT,LIB-MJ050-G8,LIB00001,G,8,3.83931,ILLUMINA-DNA-PREP.V2,LIB-MJ050-G8_02
MFD00038,SAMN39864970,P08_1,EXT-MJ039-F9,EXT-MJ039-F9,EXT00004,F,9,72.35,PowerSoil-Pro-HT,LIB-MJ054-F9,LIB00004,F,9,2.3198,ILLUMINA-DNA-PREP.V2,LIB-MJ054-F9_03
MFD00039,SAMN39864971,P08_1,EXT-MJ019-H4,EXT-MJ019-H4,EXT00001,H,4,73.42,PowerSoil-Pro-HT,LIB-MJ050-H4,LIB00001,H,4,3.71651,ILLUMINA-DNA-PREP.V2,LIB-MJ050-H4_02
MFD00040,SAMN39864972,P08_1,EXT-MJ019-F7,EXT-MJ019-F7,EXT00001,F,7,57.65,PowerSoil-Pro-HT,LIB-MJ050-F7,LIB00001,F,7,4.59865,ILLUMINA-DNA-PREP.V2,LIB-MJ050-F7_02
MFD00041,SAMN39864973,P08_1,EXT-MJ019-B12,EXT-MJ019-B12,EXT00001,B,12,24.22,PowerSoil-Pro-HT,LIB-MJ050-B12,LIB00001,B,12,4.07488,ILLUMINA-DNA-PREP.V2,LIB-MJ050-B12_02
MFD00042,SAMN39864974,P08_1,EXT-MJ019-G3,EXT-MJ019-G3,EXT00001,G,3,39.49,PowerSoil-Pro-HT,LIB-MJ050-G3,LIB00001,G,3,4.65379,ILLUMINA-DNA-PREP.V2,LIB-MJ050-G3_02
MFD00044,SAMN39864975,P08_1,EXT-MJ019-F5,EXT-MJ019-F5,EXT00001,F,5,16.73,PowerSoil-Pro-HT,LIB-MJ050-F5,LIB00001,F,5,3.24537,ILLUMINA-DNA-PREP.V2,LIB-MJ050-F5_02
MFD00045,SAMN39864976,P08_1,EXT-MJ019-F8,EXT-MJ019-F8,EXT00001,F,8,28.51,PowerSoil-Pro-HT,LIB-MJ050-F8,LIB00001,F,8,2.38328,ILLUMINA-DNA-PREP.V2,LIB-MJ050-F8_02
MFD00045,SAMN39864976,P08_1,EXT-MJ397-G10,EXT-MJ019-F8,REPREP7,G,10,25.18,PowerSoil-Pro-HT,LIB-MJ408-G10,REPREP7,G,10,1.95,ILLUMINA-DNA-PREP.V2,LIB-MJ408-G10_04
MFD00046,SAMN39864977,P08_1,EXT-MJ019-C4,EXT-MJ019-C4,EXT00001,C,4,26.29,PowerSoil-Pro-HT,LIB-MJ050-C4,LIB00001,C,4,4.10997,ILLUMINA-DNA-PREP.V2,LIB-MJ050-C4_02
MFD00048,SAMN39864978,P08_1,EXT-MJ019-B10,EXT-MJ019-B10,EXT00001,B,10,13.85,PowerSoil-Pro-HT,LIB-MJ050-B10,LIB00001,B,10,4.31296,ILLUMINA-DNA-PREP.V2,LIB-MJ050-B10_02
MFD00049,SAMN39864979,P08_1,EXT-MJ019-A9,EXT-MJ019-A9,EXT00001,A,9,40.48,PowerSoil-Pro-HT,LIB-MJ050-A9,LIB00001,A,9,5.12242,ILLUMINA-DNA-PREP.V2,LIB-MJ050-A9_02
MFD00050,SAMN39864980,P08_1,EXT-MJ019-E5,EXT-MJ019-E5,EXT00001,E,5,10.36,PowerSoil-Pro-HT,LIB-MJ050-E5,LIB00001,E,5,4.60366,ILLUMINA-DNA-PREP.V2,LIB-MJ050-E5_02
MFD00051,SAMN39864981,P08_1,EXT-MJ019-D10,EXT-MJ019-D10,EXT00001,D,10,17.44,PowerSoil-Pro-HT,LIB-MJ050-D10,LIB00001,D,10,4.85678,ILLUMINA-DNA-PREP.V2,LIB-MJ050-D10_02
MFD00052,SAMN39864982,P08_1,EXT-MJ019-B1,EXT-MJ019-B1,EXT00001,B,1,13.67,PowerSoil-Pro-HT,LIB-MJ050-B1,LIB00001,B,1,4.80916,ILLUMINA-DNA-PREP.V2,LIB-MJ050-B1_02
MFD00052,SAMN39864982,P08_1,EXT-MJ397-A10,EXT-MJ019-B1,REPREP7,A,10,10.38,PowerSoil-Pro-HT,LIB-MJ408-A10,REPREP7,A,10,1.27,ILLUMINA-DNA-PREP.V2,LIB-MJ408-A10_04
MFD00053,SAMN39864983,P08_1,EXT-MJ019-H6,EXT-MJ019-H6,EXT00001,H,6,25,PowerSoil-Pro-HT,LIB-MJ050-H6,LIB00001,H,6,3.85435,ILLUMINA-DNA-PREP.V2,LIB-MJ050-H6_02
MFD00054,SAMN39864984,P08_1,EXT-MJ019-F2,EXT-MJ019-F2,EXT00001,F,2,9.83,PowerSoil-Pro-HT,LIB-MJ050-F2,LIB00001,F,2,2.1452,ILLUMINA-DNA-PREP.V2,LIB-MJ050-F2_02
MFD00055,SAMN39864985,P08_1,EXT-MJ019-F9,EXT-MJ019-F9,EXT00001,F,9,25.19,PowerSoil-Pro-HT,LIB-MJ050-F9,LIB00001,F,9,5.09736,ILLUMINA-DNA-PREP.V2,LIB-MJ050-F9_02
MFD00056,SAMN39864986,P08_1,EXT-MJ019-H8,EXT-MJ019-H8,EXT00001,H,8,19.78,PowerSoil-Pro-HT,LIB-MJ050-H8,LIB00001,H,8,4.33802,ILLUMINA-DNA-PREP.V2,LIB-MJ050-H8_02
MFD00057,SAMN39864987,P08_1,EXT-MJ019-G11,EXT-MJ019-G11,EXT00001,G,11,75.75,PowerSoil-Pro-HT,LIB-MJ050-G11,LIB00001,G,11,5.02719,ILLUMINA-DNA-PREP.V2,LIB-MJ050-G11_02
MFD00058,SAMN39864988,P08_1,EXT-MJ019-G10,EXT-MJ019-G10,EXT00001,G,10,32.18,PowerSoil-Pro-HT,LIB-MJ050-G10,LIB00001,G,10,4.53099,ILLUMINA-DNA-PREP.V2,LIB-MJ050-G10_02
MFD00059,SAMN39864989,P08_1,EXT-MJ019-B9,EXT-MJ019-B9,EXT00001,B,9,11.57,PowerSoil-Pro-HT,LIB-MJ050-B9,LIB00001,B,9,4.04481,ILLUMINA-DNA-PREP.V2,LIB-MJ050-B9_02
MFD00060,SAMN39864990,P08_1,EXT-MJ019-D1,EXT-MJ019-D1,EXT00001,D,1,6.08,PowerSoil-Pro-HT,LIB-MJ050-D1,LIB00001,D,1,4.42573,ILLUMINA-DNA-PREP.V2,LIB-MJ050-D1_02
MFD00061,SAMN39864991,P08_1,EXT-MJ019-H7,EXT-MJ019-H7,EXT00001,H,7,12.19,PowerSoil-Pro-HT,LIB-MJ050-H7,LIB00001,H,7,3.5862,ILLUMINA-DNA-PREP.V2,LIB-MJ050-H7_02
MFD00062,SAMN39864992,P08_1,EXT-MJ019-B2,EXT-MJ019-B2,EXT00001,B,2,0.8,PowerSoil-Pro-HT,LIB-MJ050-B2,LIB00001,B,2,4.26785,ILLUMINA-DNA-PREP.V2,LIB-MJ050-B2_02
MFD00063,SAMN39864993,P08_1,EXT-MJ037-C5,EXT-MJ037-C5,EXT00002,C,5,32.77,PowerSoil-Pro-HT,LIB-MJ051-C5,LIB00002,C,5,4.23163,ILLUMINA-DNA-PREP.V2,LIB-MJ051-C5_02
MFD00064,SAMN39864994,P08_1,EXT-MJ039-C9,EXT-MJ039-C9,EXT00004,C,9,10.13,PowerSoil-Pro-HT,LIB-MJ054-C9,LIB00004,C,9,1.69474,ILLUMINA-DNA-PREP.V2,LIB-MJ054-C9_03
MFD00065,SAMN39864995,P08_1,EXT-MJ019-H10,EXT-MJ019-H10,EXT00001,H,10,43.94,PowerSoil-Pro-HT,LIB-MJ050-H10,LIB00001,H,10,4.17011,ILLUMINA-DNA-PREP.V2,LIB-MJ050-H10_02
MFD00066,SAMN39864996,P08_1,EXT-MJ019-D5,EXT-MJ019-D5,EXT00001,D,5,27.91,PowerSoil-Pro-HT,LIB-MJ050-D5,LIB00001,D,5,5.34546,ILLUMINA-DNA-PREP.V2,LIB-MJ050-D5_02
MFD00067,SAMN39864997,P08_1,EXT-MJ019-F6,EXT-MJ019-F6,EXT00001,F,6,22.73,PowerSoil-Pro-HT,LIB-MJ050-F6,LIB00001,F,6,4.95451,ILLUMINA-DNA-PREP.V2,LIB-MJ050-F6_02
MFD00068,SAMN39864998,P08_1,EXT-MJ019-A3,EXT-MJ019-A3,EXT00001,A,3,16.84,PowerSoil-Pro-HT,LIB-MJ050-A3,LIB00001,A,3,5.4031,ILLUMINA-DNA-PREP.V2,LIB-MJ050-A3_02
MFD00069,SAMN39864999,P08_1,EXT-MJ041-G2,EXT-MJ041-G2,EXT00006,G,2,4.82,PowerSoil-Pro-HT,LIB-MJ055-G2,LIB00006,G,2,1.08311,ILLUMINA-DNA-PREP.V2,LIB-MJ055-G2_04
MFD00070,SAMN39865000,P08_1,EXT-MJ019-G9,EXT-MJ019-G9,EXT00001,G,9,10.35,PowerSoil-Pro-HT,LIB-MJ050-G9,LIB00001,G,9,4.56106,ILLUMINA-DNA-PREP.V2,LIB-MJ050-G9_02
MFD00071,SAMN39865001,P08_1,EXT-MJ039-H8,EXT-MJ039-H8,EXT00004,H,8,8.29,PowerSoil-Pro-HT,LIB-MJ054-H8,LIB00004,H,8,2.01904,ILLUMINA-DNA-PREP.V2,LIB-MJ054-H8_03
MFD00072,SAMN39865002,P08_1,EXT-MJ019-E11,EXT-MJ019-E11,EXT00001,E,11,71.6,PowerSoil-Pro-HT,LIB-MJ050-E11,LIB00001,E,11,5.22016,ILLUMINA-DNA-PREP.V2,LIB-MJ050-E11_02
MFD00073,SAMN39865003,P08_1,EXT-MJ019-C12,EXT-MJ019-C12,EXT00001,C,12,5.75,PowerSoil-Pro-HT,LIB-MJ050-C12,LIB00001,C,12,3.64133,ILLUMINA-DNA-PREP.V2,LIB-MJ050-C12_02
MFD00074,SAMN39865004,P08_1,EXT-MJ019-G4,EXT-MJ019-G4,EXT00001,G,4,47.49,PowerSoil-Pro-HT,LIB-MJ050-G4,LIB00001,G,4,6.73634,ILLUMINA-DNA-PREP.V2,LIB-MJ050-G4_02
MFD00075,SAMN39865005,P08_1,EXT-MJ019-D4,EXT-MJ019-D4,EXT00001,D,4,28.63,PowerSoil-Pro-HT,LIB-MJ050-D4,LIB00001,D,4,4.73649,ILLUMINA-DNA-PREP.V2,LIB-MJ050-D4_02
MFD00076,SAMN39865006,P08_1,EXT-MJ040-F6,EXT-MJ040-F6,EXT00005,F,6,33.62,PowerSoil-Pro-HT,LIB-MJ048-F6,LIB00005,F,6,4.29776,ILLUMINA-DNA-PREP.V2,LIB-MJ048-F6_04
MFD00077,SAMN39865007,P08_1,EXT-MJ040-A4,EXT-MJ040-A4,EXT00005,A,4,47.32,PowerSoil-Pro-HT,LIB-MJ048-A4,LIB00005,A,4,5.88371,ILLUMINA-DNA-PREP.V2,LIB-MJ048-A4_04
MFD00078,SAMN39865008,P08_1,EXT-MJ041-F9,EXT-MJ041-F9,EXT00006,F,9,9.51,PowerSoil-Pro-HT,LIB-MJ055-F9,LIB00006,F,9,1.32906,ILLUMINA-DNA-PREP.V2,LIB-MJ055-F9_04
MFD00079,SAMN39865009,P08_1,EXT-MJ019-B11,EXT-MJ019-B11,EXT00001,B,11,119.48,PowerSoil-Pro-HT,LIB-MJ050-B11,LIB00001,B,11,4.58863,ILLUMINA-DNA-PREP.V2,LIB-MJ050-B11_02
MFD00080,SAMN39865010,P08_1,EXT-MJ019-B6,EXT-MJ019-B6,EXT00001,B,6,21.17,PowerSoil-Pro-HT,LIB-MJ050-B6,LIB00001,B,6,6.48573,ILLUMINA-DNA-PREP.V2,LIB-MJ050-B6_02
MFD00081,SAMN39865011,P08_1,EXT-MJ040-B1,EXT-MJ040-B1,EXT00005,B,1,4.78,PowerSoil-Pro-HT,LIB-MJ048-B1,LIB00005,B,1,3.13078,ILLUMINA-DNA-PREP.V2,LIB-MJ048-B1_04
MFD00082,SAMN39865012,P08_1,EXT-MJ040-C9,EXT-MJ040-C9,EXT00005,C,9,3.7,PowerSoil-Pro-HT,LIB-MJ048-C9,LIB00005,C,9,2.17972,ILLUMINA-DNA-PREP.V2,LIB-MJ048-C9_04
MFD00083,SAMN39865013,P08_1,EXT-MJ019-A2,EXT-MJ019-A2,EXT00001,A,2,14.86,PowerSoil-Pro-HT,LIB-MJ050-A2,LIB00001,A,2,3.92201,ILLUMINA-DNA-PREP.V2,LIB-MJ050-A2_02
MFD00084,SAMN39865014,P08_1,EXT-MJ039-D10,EXT-MJ039-D10,EXT00004,D,10,77.38,PowerSoil-Pro-HT,LIB-MJ054-D10,LIB00004,D,10,4.5873,ILLUMINA-DNA-PREP.V2,LIB-MJ054-D10_03
MFD00085,SAMN39865015,P08_1,EXT-MJ019-C2,EXT-MJ019-C2,EXT00001,C,2,9.93,PowerSoil-Pro-HT,LIB-MJ050-C2,LIB00001,C,2,3.27294,ILLUMINA-DNA-PREP.V2,LIB-MJ050-C2_02
MFD00086,SAMN39865016,P08_1,EXT-MJ040-B5,EXT-MJ040-B5,EXT00005,B,5,1.57,PowerSoil-Pro-HT,LIB-MJ048-B5,LIB00005,B,5,1.15155,ILLUMINA-DNA-PREP.V2,LIB-MJ048-B5_04
MFD00087,SAMN39865017,P08_1,EXT-MJ019-F1,EXT-MJ019-F1,EXT00001,F,1,11.89,PowerSoil-Pro-HT,LIB-MJ050-F1,LIB00001,F,1,4.1225,ILLUMINA-DNA-PREP.V2,LIB-MJ050-F1_02
MFD00088,SAMN39865018,P08_1,EXT-MJ019-B3,EXT-MJ019-B3,EXT00001,B,3,1.75,PowerSoil-Pro-HT,LIB-MJ050-B3,LIB00001,B,3,1.6916,ILLUMINA-DNA-PREP.V2,LIB-MJ050-B3_02
MFD00089,SAMN39865019,P09_1,EXT-MJ037-B12,EXT-MJ037-B12,EXT00002,B,12,1,PowerSoil-Pro-HT,LIB-MJ051-B12,LIB00002,B,12,0.58041,ILLUMINA-DNA-PREP.V2,LIB-MJ051-B12_02
MFD00090,SAMN39865020,P08_1,EXT-MJ019-H1,EXT-MJ019-H1,EXT00001,H,1,40.22,PowerSoil-Pro-HT,LIB-MJ050-H1,LIB00001,H,1,5.13495,ILLUMINA-DNA-PREP.V2,LIB-MJ050-H1_02
MFD00091,SAMN39865021,P09_1,EXT-MJ039-H11,EXT-MJ039-H11,EXT00004,H,11,0.53,PowerSoil-Pro-HT,LIB-MJ054-H11,LIB00004,H,11,0.95983,ILLUMINA-DNA-PREP.V2,LIB-MJ054-H11_03
MFD00092,SAMN39865022,P09_1,EXT-MJ041-H2,EXT-MJ041-H2,EXT00006,H,2,2.99,PowerSoil-Pro-HT,LIB-MJ055-H2,LIB00006,H,2,1.05152,ILLUMINA-DNA-PREP.V2,LIB-MJ055-H2_04
MFD00093,SAMN39865023,P09_1,EXT-MJ040-B9,EXT-MJ040-B9,EXT00005,B,9,3.59,PowerSoil-Pro-HT,LIB-MJ048-B9,LIB00005,B,9,1.41374,ILLUMINA-DNA-PREP.V2,LIB-MJ048-B9_04
MFD00094,SAMN39865024,P08_1,EXT-MJ040-B7,EXT-MJ040-B7,EXT00005,B,7,34.53,PowerSoil-Pro-HT,LIB-MJ048-B7,LIB00005,B,7,4.05357,ILLUMINA-DNA-PREP.V2,LIB-MJ048-B7_04
MFD00095,SAMN39865025,P09_1,EXT-MJ039-D3,EXT-MJ039-D3,EXT00004,D,3,1.34,PowerSoil-Pro-HT,LIB-MJ054-D3,LIB00004,D,3,0.6826,ILLUMINA-DNA-PREP.V2,LIB-MJ054-D3_03
MFD00096,SAMN39865026,P09_1,EXT-MJ039-C2,EXT-MJ039-C2,EXT00004,C,2,1.4,PowerSoil-Pro-HT,LIB-MJ054-C2,LIB00004,C,2,1.44628,ILLUMINA-DNA-PREP.V2,LIB-MJ054-C2_03
MFD00097,SAMN39865027,P09_1,EXT-MJ038-E8,EXT-MJ038-E8,EXT00003,E,8,2.15,PowerSoil-Pro-HT,LIB-MJ044-E8,LIB00003,E,8,2.20093,ILLUMINA-DNA-PREP.V2,LIB-MJ044-E8_03
MFD00098,SAMN39865028,P08_1,EXT-MJ041-E2,EXT-MJ041-E2,EXT00006,E,2,36.79,PowerSoil-Pro-HT,LIB-MJ055-E2,LIB00006,E,2,3.67805,ILLUMINA-DNA-PREP.V2,LIB-MJ055-E2_04
MFD00099,SAMN39865029,P09_1,EXT-MJ040-H3,EXT-MJ040-H3,EXT00005,H,3,1.97,PowerSoil-Pro-HT,LIB-MJ048-H3,LIB00005,H,3,1.43944,ILLUMINA-DNA-PREP.V2,LIB-MJ048-H3_04
MFD00100,SAMN39865030,P09_1,EXT-MJ039-A1,EXT-MJ039-A1,EXT00004,A,1,10.68,PowerSoil-Pro-HT,LIB-MJ054-A1,LIB00004,A,1,1.83858,ILLUMINA-DNA-PREP.V2,LIB-MJ054-A1_03
MFD00101,SAMN39865031,P09_1,EXT-MJ038-D8,EXT-MJ038-D8,EXT00003,D,8,7.12,PowerSoil-Pro-HT,LIB-MJ044-D8,LIB00003,D,8,2.24749,ILLUMINA-DNA-PREP.V2,LIB-MJ044-D8_03
MFD00102,SAMN39865032,P08_1,EXT-MJ019-D2,EXT-MJ019-D2,EXT00001,D,2,63.74,PowerSoil-Pro-HT,LIB-MJ050-D2,LIB00001,D,2,7.25509,ILLUMINA-DNA-PREP.V2,LIB-MJ050-D2_02
MFD00103,SAMN39865033,P08_1,EXT-MJ037-C6,EXT-MJ037-C6,EXT00002,C,6,37.12,PowerSoil-Pro-HT,LIB-MJ051-C6,LIB00002,C,6,4.7108,ILLUMINA-DNA-PREP.V2,LIB-MJ051-C6_02
MFD00104,SAMN39865034,P09_1,EXT-MJ041-H1,EXT-MJ041-H1,EXT00006,H,1,0.27,PowerSoil-Pro-HT,LIB-MJ055-H1,LIB00006,H,1,2.30837,ILLUMINA-DNA-PREP.V2,LIB-MJ055-H1_04
MFD00105,SAMN39865035,P09_1,EXT-MJ037-A11,EXT-MJ037-A11,EXT00002,A,11,0.63,PowerSoil-Pro-HT,LIB-MJ051-A11,LIB00002,A,11,0.66815,ILLUMINA-DNA-PREP.V2,LIB-MJ051-A11_02
