fieldsample_barcode,BioSample,project_id,extraction_id,original_extraction_id,extractionplate_id,extraction_row,extraction_col,extraction_conc,extraction_method,library_id,libraryplate_id,library_row,library_col,library_conc,library_method,seq_id
MFD04088,SAMN39868448,P04_3,EXT-MJ081-A10,EXT-MJ081-A10,EXT00007,A,10,4.3,PowerSoil-Pro-HT,LIB-MJ088-A10,LIB00007,A,10,0.95,ILLUMINA-DNA-PREP.V2,LIB-MJ088-A10_04
MFD04089,SAMN39868449,P04_3,EXT-MJ081-B10,EXT-MJ081-B10,EXT00007,B,10,6.57,PowerSoil-Pro-HT,LIB-MJ088-B10,LIB00007,B,10,1.15,ILLUMINA-DNA-PREP.V2,LIB-MJ088-B10_04
MFD04090,SAMN39868450,P04_3,EXT-MJ085-E7,EXT-MJ085-E7,EXT00011,E,7,13.32,PowerSoil-Pro-HT,LIB-MJ092-E7,LIB00011,E,7,1.19,ILLUMINA-DNA-PREP.V2,LIB-MJ092-E7_01
MFD04091,SAMN39868451,P04_3,EXT-MJ086-G10,EXT-MJ086-G10,EXT00012,G,10,2.35,PowerSoil-Pro-HT,LIB-MJ093-G10,LIB00012,G,10,0.47,ILLUMINA-DNA-PREP.V2,LIB-MJ093-G10_02
MFD04092,SAMN39868452,P04_3,EXT-MJ085-H9,EXT-MJ085-H9,EXT00011,H,9,39.9,PowerSoil-Pro-HT,LIB-MJ092-H9,LIB00011,H,9,1.44,ILLUMINA-DNA-PREP.V2,LIB-MJ092-H9_01
MFD04093,SAMN39868453,P04_3,EXT-MJ082-D3,EXT-MJ082-D3,EXT00008,D,3,9.83,PowerSoil-Pro-HT,LIB-MJ089-D3,LIB00008,D,3,0.31,ILLUMINA-DNA-PREP.V2,LIB-MJ089-D3_02
MFD04094,SAMN39868454,P04_3,EXT-MJ081-D11,EXT-MJ081-D11,EXT00007,D,11,8.63,PowerSoil-Pro-HT,LIB-MJ088-D11,LIB00007,D,11,0.84,ILLUMINA-DNA-PREP.V2,LIB-MJ088-D11_04
MFD04095,SAMN39868455,P04_3,EXT-MJ085-E6,EXT-MJ085-E6,EXT00011,E,6,32.87,PowerSoil-Pro-HT,LIB-MJ092-E6,LIB00011,E,6,1.37,ILLUMINA-DNA-PREP.V2,LIB-MJ092-E6_01
MFD04096,SAMN39868456,P04_3,EXT-MJ083-F7,EXT-MJ083-F7,EXT00009,F,7,3.43,PowerSoil-Pro-HT,LIB-MJ090-F7,LIB00009,F,7,0.2,ILLUMINA-DNA-PREP.V2,LIB-MJ090-F7_04
MFD04097,SAMN39868457,P04_3,EXT-MJ084-G2,EXT-MJ084-G2,EXT00010,G,2,34.1,PowerSoil-Pro-HT,LIB-MJ091-G2,LIB00010,G,2,0.54,ILLUMINA-DNA-PREP.V2,LIB-MJ091-G2_03
MFD04098,SAMN39868458,P04_3,EXT-MJ082-F1,EXT-MJ082-F1,EXT00008,F,1,3.89,PowerSoil-Pro-HT,LIB-MJ089-F1,LIB00008,F,1,0.19,ILLUMINA-DNA-PREP.V2,LIB-MJ089-F1_02
MFD04099,SAMN39868459,P04_3,EXT-MJ086-A3,EXT-MJ086-A3,EXT00012,A,3,4.27,PowerSoil-Pro-HT,LIB-MJ093-A3,LIB00012,A,3,0.28,ILLUMINA-DNA-PREP.V2,LIB-MJ093-A3_02
MFD04100,SAMN39868460,P04_3,EXT-MJ083-F9,EXT-MJ083-F9,EXT00009,F,9,5.96,PowerSoil-Pro-HT,LIB-MJ090-F9,LIB00009,F,9,0.47,ILLUMINA-DNA-PREP.V2,LIB-MJ090-F9_04
MFD04101,SAMN39868461,P04_3,EXT-MJ083-E2,EXT-MJ083-E2,EXT00009,E,2,5.82,PowerSoil-Pro-HT,LIB-MJ090-E2,LIB00009,E,2,0.26,ILLUMINA-DNA-PREP.V2,LIB-MJ090-E2_04
MFD04102,SAMN39868462,P04_3,EXT-MJ083-F4,EXT-MJ083-F4,EXT00009,F,4,3.17,PowerSoil-Pro-HT,LIB-MJ090-F4,LIB00009,F,4,0.09,ILLUMINA-DNA-PREP.V2,LIB-MJ090-F4_04
MFD04103,SAMN39868463,P04_3,EXT-MJ085-E11,EXT-MJ085-E11,EXT00011,E,11,9.5,PowerSoil-Pro-HT,LIB-MJ092-E11,LIB00011,E,11,1.12,ILLUMINA-DNA-PREP.V2,LIB-MJ092-E11_01
MFD04104,SAMN39868464,P04_3,EXT-MJ083-G3,EXT-MJ083-G3,EXT00009,G,3,5.49,PowerSoil-Pro-HT,LIB-MJ090-G3,LIB00009,G,3,0.17,ILLUMINA-DNA-PREP.V2,LIB-MJ090-G3_04
