"seq_id","seq_lane","before_total_reads","before_total_bases","before_q20_bases","before_q30_bases","before_q20_rate","before_q30_rate","before_read1_mean_length","before_read2_mean_length","before_gc_content","after_total_reads","after_total_bases","after_q20_bases","after_q30_bases","after_q20_rate","after_q30_rate","after_read1_mean_length","after_read2_mean_length","after_gc_content","passed_filter_reads","corrected_reads","corrected_bases","low_quality_reads","too_many_N_reads","too_short_reads","too_long_reads","duplication_rate","peak","seq_run","library_id","library_plate","library_column","library_row","library_concentration","library_type","sample_type"
"LIB-MJ147-F10_02","10_02",1106,167006,155082,149182,0.928601,0.893273,151,151,0.869262,38,5556,5450,5197,0.980922,0.935385,146,146,0.513499,40,0,0,8,0,1058,0,0.0126582,0,"220324_A00595_0144_AHGKYMDSX3","LIB-MJ147-F10","LIB00032","10","F",0.01,"ILLUMINA-DNA-PREP","blank"
"LIB-MJ147-F3_02","3_02",1262,190562,179963,172565,0.94438,0.905558,151,151,0.837444,138,20441,20182,19412,0.987329,0.94966,147,148,0.596155,142,2,6,8,0,1112,0,0.0950872,0,"220324_A00595_0144_AHGKYMDSX3","LIB-MJ147-F3","LIB00032","3","F",0.02,"ILLUMINA-DNA-PREP","blank"
"LIB-MJ148-C10_02","10_02",10962,1655262,1560137,1471505,0.942532,0.888986,151,151,0.687785,6038,892131,878099,842302,0.984271,0.944146,147,147,0.62182,6244,219,302,282,0,4436,0,0.0439701,0,"220324_A00595_0144_AHGKYMDSX3","LIB-MJ148-C10","LIB00033","10","C",0.02,"ILLUMINA-DNA-PREP","blank"
"LIB-MJ148-C3_02","3_02",2196,331596,308676,294796,0.93088,0.889022,151,151,0.831841,234,34476,33832,32275,0.98132,0.936158,147,147,0.505192,236,4,6,26,0,1934,0,0.0327869,0,"220324_A00595_0144_AHGKYMDSX3","LIB-MJ148-C3","LIB00033","3","C",0.02,"ILLUMINA-DNA-PREP","blank"
"LIB-MJ148-F10_02","10_02",1620,244620,225944,215435,0.923653,0.880693,151,151,0.843647,140,20460,20152,19393,0.984946,0.947849,145,147,0.618475,144,13,18,34,0,1442,0,0.00493827,0,"220324_A00595_0144_AHGKYMDSX3","LIB-MJ148-F10","LIB00033","10","F",0.01,"ILLUMINA-DNA-PREP","blank"
"LIB-MJ148-F3_02","3_02",2478,374178,347309,330366,0.928192,0.882911,151,151,0.795218,706,104005,102450,98530,0.985049,0.947358,147,147,0.64794,726,21,22,44,0,1708,0,0.0363196,0,"220324_A00595_0144_AHGKYMDSX3","LIB-MJ148-F3","LIB00033","3","F",0.01,"ILLUMINA-DNA-PREP","blank"
"LIB-MJ149-C10_03","10_03",2448,369648,339643,325525,0.918828,0.880635,151,151,0.878384,62,9016,8852,8393,0.98181,0.930901,145,145,0.549246,62,7,9,38,0,2348,0,0.0106209,0,"220324_A00595_0144_AHGKYMDSX3","LIB-MJ149-C10","LIB00034","10","C",0.03,"ILLUMINA-DNA-PREP","blank"
"LIB-MJ149-C3_03","3_03",1092,164892,154409,148007,0.936425,0.8976,151,151,0.863784,56,8352,8204,7871,0.98228,0.942409,149,148,0.570761,56,4,5,14,0,1022,0,0.100733,0,"220324_A00595_0144_AHGKYMDSX3","LIB-MJ149-C3","LIB00034","3","C",0.02,"ILLUMINA-DNA-PREP","blank"
"LIB-MJ149-F10_03","10_03",2992,451792,416628,395057,0.922168,0.874422,151,151,0.744168,544,76427,75394,72469,0.986484,0.948212,140,140,0.485077,558,37,42,32,0,2402,0,0.0180481,0,"220324_A00595_0144_AHGKYMDSX3","LIB-MJ149-F10","LIB00034","10","F",0.02,"ILLUMINA-DNA-PREP","blank"
"LIB-MJ149-F3_03","3_03",2044,308644,288035,275911,0.933227,0.893946,151,151,0.862473,118,17395,17162,16528,0.986605,0.950158,148,146,0.620523,118,5,7,22,0,1904,0,0.074364,0,"220324_A00595_0144_AHGKYMDSX3","LIB-MJ149-F3","LIB00034","3","F",0.04,"ILLUMINA-DNA-PREP","blank"
"LIB-MJ150-C10_03","10_03",6404,967004,906180,868744,0.937101,0.898387,151,151,0.8652,232,33537,33058,31794,0.985717,0.948028,144,144,0.490086,240,18,24,100,0,6064,0,0.201124,0,"220324_A00595_0144_AHGKYMDSX3","LIB-MJ150-C10","LIB00035","10","C",0.06,"ILLUMINA-DNA-PREP","blank"
"LIB-MJ150-C3_03","3_03",2766,417666,388768,372984,0.930811,0.89302,151,151,0.876241,60,8846,8726,8428,0.986435,0.952747,146,147,0.526566,66,6,7,50,0,2650,0,0.106291,0,"220324_A00595_0144_AHGKYMDSX3","LIB-MJ150-C3","LIB00035","3","C",0.03,"ILLUMINA-DNA-PREP","blank"
"LIB-MJ150-F10_03","10_03",4720,712720,661616,631020,0.928297,0.885369,151,151,0.833198,484,71409,70170,67048,0.982649,0.938929,147,147,0.481662,502,21,29,84,0,4134,0,0.0610169,0,"220324_A00595_0144_AHGKYMDSX3","LIB-MJ150-F10","LIB00035","10","F",0.02,"ILLUMINA-DNA-PREP","blank"
"LIB-MJ150-F3_03","3_03",4206,635106,593963,564397,0.935219,0.888666,151,151,0.823984,562,82472,81185,77697,0.984395,0.942102,146,146,0.518115,584,20,26,42,0,3580,0,0.103186,0,"220324_A00595_0144_AHGKYMDSX3","LIB-MJ150-F3","LIB00035","3","F",0.02,"ILLUMINA-DNA-PREP","blank"
"LIB-MJ151-C10_04","10_04",1343082,202805382,195889324,187302972,0.965898,0.92356,151,151,0.612512,1037354,152788841,151149103,146557925,0.989268,0.959219,147,147,0.615656,1064104,28017,35328,19646,4,259328,0,0.0202683,151,"220324_A00595_0144_AHGKYMDSX3","LIB-MJ151-C10","LIB00036","10","C",0.03,"ILLUMINA-DNA-PREP","blank"
"LIB-MJ151-C3_04","3_04",1222,184522,176180,169167,0.954791,0.916785,151,151,0.754636,528,79161,78327,76051,0.989465,0.960713,149,150,0.645949,544,15,21,10,0,668,0,0.0523732,0,"220324_A00595_0144_AHGKYMDSX3","LIB-MJ151-C3","LIB00036","3","C",0.01,"ILLUMINA-DNA-PREP","blank"
"LIB-MJ151-F10_04","10_04",928,140128,128958,124103,0.920287,0.88564,151,151,0.871553,76,11153,10995,10656,0.985833,0.955438,146,146,0.600825,76,1,1,6,0,846,0,0.00431034,0,"220324_A00595_0144_AHGKYMDSX3","LIB-MJ151-F10","LIB00036","10","F",0.01,"ILLUMINA-DNA-PREP","blank"
"LIB-MJ151-F3_04","3_04",876,132276,124174,119436,0.938749,0.90293,151,151,0.845754,102,15058,14769,14150,0.980808,0.9397,146,148,0.621796,102,4,4,4,0,770,0,0.0570776,0,"220324_A00595_0144_AHGKYMDSX3","LIB-MJ151-F3","LIB00036","3","F",0.01,"ILLUMINA-DNA-PREP","blank"
"LIB-MJ171-C10_04","10_04",2542,383842,359200,342706,0.935802,0.892831,151,151,0.783354,190,27426,27162,26393,0.990374,0.962335,144,144,0.602421,202,8,10,12,0,2328,0,0.102282,0,"220324_A00595_0144_AHGKYMDSX3","LIB-MJ171-C10","LIB00042","10","C",0.01,"ILLUMINA-DNA-PREP","blank"
"LIB-MJ171-C3_04","3_04",1206,182106,169415,161817,0.93031,0.888587,151,151,0.795559,40,5589,5512,5318,0.986223,0.951512,139,140,0.551798,40,7,9,10,0,1156,0,0.0414594,0,"220324_A00595_0144_AHGKYMDSX3","LIB-MJ171-C3","LIB00042","3","C",0.02,"ILLUMINA-DNA-PREP","blank"
"LIB-MJ171-F10_04","10_04",1448,218648,202332,192647,0.925378,0.881083,151,151,0.761054,88,12320,12148,11631,0.986039,0.944075,138,141,0.465909,90,8,11,14,0,1344,0,0.0138122,0,"220324_A00595_0144_AHGKYMDSX3","LIB-MJ171-F10","LIB00042","10","F",0.01,"ILLUMINA-DNA-PREP","blank"
